"File","Words","Smell","LowProse"
"docs\_backlog\ADVANCED_INITIATIVES.md","28","True","False"
"docs\_fragments\footer.md","20","False","False"
"docs\_templates\BrandLead_v2.md","56","True","False"
"docs\.do\DO-Canon-Change.md","20","False","True"
"docs\.do\DO-CC-Seed.md","24","False","True"
"docs\.do\DO-Rest-Policy.md","20","False","True"
"docs\academy\BP_OE_WF.md","226","True","False"
"docs\academy\REPO_ACCELERATOR.md","226","True","False"
"docs\advisory\AdviceBomb_v0.3\MAIN_MEMO.md","103","False","True"
"docs\advisory\BPOE\bpoe-checklist.md","60","False","True"
"docs\advisory\modules\capture_immunity\Capture_Immunity_Protocol.md","82","False","True"
"docs\advisory\modules\dashboard_staging\Dashboard_Staging_Playbook.md","36","False","True"
"docs\advisory\modules\ethical_futures_sandbox\Futures_Sandbox.md","41","False","True"
"docs\advisory\modules\policy_drift_engine\Policy_Drift_Engine.md","45","False","True"
"docs\advisory\modules\readme_multiplexing\variants\README.default.md","3","False","True"
"docs\advisory\modules\readme_multiplexing\variants\README.dev.md","3","False","True"
"docs\advisory\modules\readme_multiplexing\variants\README.edu.md","3","False","True"
"docs\advisory\modules\readme_multiplexing\variants\README.exec.md","3","False","True"
"docs\advisory\modules\readme_multiplexing\README_Multiplexing.md","31","False","True"
"docs\advisory\modules\value_return_matrix\Value_Return_Matrix.md","92","False","True"
"docs\ai\examples\receipt_bus_fix.md","121","False","True"
"docs\ai\examples\receipt_refill_med.md","90","False","True"
"docs\ai\examples\receipt_shelter_capacity_ping.md","16","False","True"
"docs\ai\examples\receipt_streetlight_fix.md","16","False","True"
"docs\ai\FRONT_DOOR.md","82","False","False"
"docs\ai\RECEIPTS_INDEX.md","105","False","True"
"docs\ai\SPEC.md","71","False","False"
"docs\architecture\overview.md","175","True","False"
"docs\backlog\_TODO.stub.md","42","True","False"
"docs\backlog\ADVANCED.md","276","True","False"
"docs\BPOE\process\BPOE_Rules.md","147","False","True"
"docs\BPOE\workflow\DIAGRAMS_BPOE_20251028.md","106","False","True"
"docs\BPOE\quicklist.md","77","False","True"
"docs\BPOE\README.md","27","False","True"
"docs\brand\poetry\PATTERN.md","193","True","False"
"docs\brand\BRAND_STATUS.md","60","True","True"
"docs\brand\BRAND_USAGE.md","33","True","True"
"docs\brand\IMAGES_TODO.md","52","True","True"
"docs\brand\TERMS.md","73","True","True"
"docs\brand\TM_CHECKLIST.md","62","True","True"
"docs\branding\Marketing-Messaging-v0.md","315","True","False"
"docs\cc\_imports\civium_20250826_1057\consent_Consent_Poetics.md","93","True","False"
"docs\cc\_imports\civium_20250826_1057\consent_Consent_Structures.md","126","True","False"
"docs\cc\_imports\civium_20250826_1057\consent_README_consent.md","58","True","False"
"docs\cc\_imports\civium_20250826_1057\INDEX.md","108","True","True"
"docs\cc\_imports\civium_20250826_1057\scroll_README_scroll.md","121","True","False"
"docs\cc\_imports\civium_20250826_1109\INDEX.md","142","True","True"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_AI_in_Pandoras_Box_c6_20250723.md","5","True","True"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_AI_Veto_c4_20250801.md","603","True","False"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_Forking_as_Epistemic_Containment_c3_20250801.md","711","True","False"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_Glossary_Metaphysics_c5_20250731.md","774","True","False"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_Rights_Alignment_c3_20250801.md","474","True","False"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_Story_Being_Noname_c2_20250801.md","1320","True","False"
"docs\cc\_imports\civium_20250826_1109\insights_Insight_Truth_Metrics_c6_20250801.md","574","True","False"
"docs\cc\_imports\civium_20250826_1109\seed_README_Seed.md","87","True","False"
"docs\cc\00-Poetics\codex_Codex_Consent.md","180","True","False"
"docs\cc\00-Poetics\consent_Consent_Poetics.md","93","True","False"
"docs\cc\00-Poetics\consent_Consent_Structures.md","126","True","False"
"docs\cc\00-Poetics\README.md","30","True","False"
"docs\cc\10-Scroll\README.md","50","True","False"
"docs\cc\declarations\ai-mediation-and-agency.md","31","True","True"
"docs\cc\declarations\amendment-process.md","30","True","True"
"docs\cc\declarations\consent-and-data-dignity.md","31","True","True"
"docs\cc\declarations\participation-and-access.md","30","True","True"
"docs\cc\declarations\safety-and-red-lines.md","31","True","True"
"docs\cc\declarations\transparency-and-traceability.md","30","True","True"
"docs\cc\00_INDEX.md","28","True","True"
"docs\cc\01_Principles.md","34","True","True"
"docs\cc\02_Rights_and_Symmetry.md","28","True","True"
"docs\cc\03_Guardrails.md","113","True","True"
"docs\cc\04_Consent_Protocols.md","110","True","True"
"docs\cc\05_Dispute_Resolution.md","103","True","True"
"docs\cc\06_Sandboxing_and_Interop.md","25","True","True"
"docs\cc\07_Auditability_and_Verification.md","24","True","True"
"docs\cc\08_Evolution_and_Amendments.md","25","True","True"
"docs\cc\AMENDMENTS_LOG.md","12","True","True"
"docs\cc\CC_SUPPORTING_DOCS.md","30","True","True"
"docs\cc\COGNOCARTA_CONSENTI.md","61","True","True"
"docs\cc\DECISION_FLOW.md","26","True","True"
"docs\cc\DECLARATIONS.md","47","True","False"
"docs\cc\GLOSSARY.md","19","True","True"
"docs\cc\INDEX.md","34","True","True"
"docs\cc\OVERVIEW.md","44","True","False"
"docs\cc\POLISH_PLAN_c1.md","73","True","False"
"docs\cc\PREAMBLE.md","68","True","False"
"docs\cc\README.md","84","True","True"
"docs\cc\SCROLL.md","163","True","False"
"docs\cc\stub_DECLARATIONS.md","39","True","True"
"docs\cc\stub_OVERVIEW.md","39","True","True"
"docs\cc\stub_PREAMBLE.md","39","True","True"
"docs\charter\Annex_E_Contingency_AI_Conflict.md","119","True","True"
"docs\charter\Cognocarta_Plan.md","250","False","True"
"docs\charter\Structure_Outline.md","121","True","False"
"docs\checklists\Diagrams.md","84","False","True"
"docs\checklists\MEGASCROLL.md","38","False","True"
"docs\constitution\sections\00_preamble.md","15","True","True"
"docs\constitution\sections\10_rights_duties.md","15","True","True"
"docs\constitution\sections\20_governance.md","15","True","True"
"docs\constitution\sections\30_operations.md","15","True","True"
"docs\constitution\sections\40_info_data.md","15","True","True"
"docs\constitution\sections\50_finance_risk.md","15","True","True"
"docs\constitution\sections\60_tech_security.md","15","True","True"
"docs\constitution\sections\70_community_partnerships.md","15","True","True"
"docs\constitution\sections\80_amendments.md","15","True","True"
"docs\constitution\sections\90_notes.md","15","True","True"
"docs\constitution\CoCivium-Constitution.md","23","True","True"
"docs\constitution\INDEX.md","98","False","True"
"docs\constitution\OUTLINE.md","88","False","True"
"docs\constitution\WEAK_AREAS.md","36","True","True"
"docs\cotips\VOICE-PASTE-CUE.md","72","True","False"
"docs\decisions\index.md","42","True","True"
"docs\diagrams\render\academy\README.md","19","False","True"
"docs\diagrams\render\academy\vital-signs.vl.md","17","False","True"
"docs\diagrams\vitals\methods\extreme-poverty-inv.md","49","False","True"
"docs\diagrams\vitals\methods\life-expectancy.md","49","False","True"
"docs\diagrams\vitals\methods\literacy.md","44","False","True"
"docs\diagrams\INVENTORY.md","2128","True","True"
"docs\drafts\README.next.md","705","True","False"
"docs\eyes\README.md","50","True","True"
"docs\ideas\2025-09-11\batch-3\README.md","62","True","True"
"docs\ideas\2025-09-11\batch-4\README.md","59","False","True"
"docs\ideas\2025-09-11\batch-5\README.md","73","False","True"
"docs\ideas\2025-09-11\batch-6\README.md","56","False","True"
"docs\ideas\2025-09-11\imports-170038\README.md","66","True","False"
"docs\ideas\2025-09-11\imports-171257\README.md","61","True","True"
"docs\ideas\2025-09-11\imports-172523\README.md","56","False","True"
"docs\ideas\twominds\a-b-doc-switcher-dual-readme.md","131","True","True"
"docs\ideas\twominds\fix-the-world-the-game-canonical-in-comodules.md","133","True","True"
"docs\ideas\twominds\short-title.md","127","True","True"
"docs\ideas\_template.md","42","True","False"
"docs\ideas\20250826-0407Z-ab-readme.md","52","True","False"
"docs\ideas\20250826-0407Z-ftw-game.md","57","True","False"
"docs\ideas\INDEX.md","29","True","True"
"docs\ideas\README.md","188","True","False"
"docs\ideas\REGISTRY.md","45","True","False"
